{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(290.0707267082496), 'rmse': np.float64(17.031462846985562), 'r2': 0.9286293333218509}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(332.26694637085694), 'rmse': np.float64(18.22819097910862), 'r2': 0.9179095125752503}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(338.66086674158237), 'rmse': np.float64(18.402740739943667), 'r2': 0.9177354438346166}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(350.76849106622126), 'rmse': np.float64(18.728814459709437), 'r2': 0.9133384866614719}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(379.7418656942715), 'rmse': np.float64(19.48696655958211), 'r2': 0.9065661315508625}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(311.9081380264405), 'rmse': np.float64(17.660921211149788), 'r2': 0.9242339843218568}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(556.3056191937679), 'rmse': np.float64(23.58613192521758), 'r2': 0.8631233721195398}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(371.17794381595786), 'rmse': np.float64(19.265978921818583), 'r2': 0.9098366779126589}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(323.52871411451287), 'rmse': np.float64(17.98690396134123), 'r2': 0.9203971380431599}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(426.39202164925376), 'rmse': np.float64(20.64926201221859), 'r2': 0.8946547970734843}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(292.18885189855814), 'rmse': np.float64(17.09353245817137), 'r2': 0.9278112808559088}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(412.9340269162262), 'rmse': np.float64(20.320778206462126), 'r2': 0.8983993416724678}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(335.99317670310626), 'rmse': np.float64(18.330116658196868), 'r2': 0.9173303101187155}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(472.0728453526992), 'rmse': np.float64(21.727237407289017), 'r2': 0.8838484873126816}
