{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(505.3189012694087), 'rmse': np.float64(22.47929939454094), 'r2': 0.8751549759516403}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(404.2239255096659), 'rmse': np.float64(20.105320825832795), 'r2': 0.9001316879807921}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(483.2264541696753), 'rmse': np.float64(21.98241238284996), 'r2': 0.8811041893748359}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(470.2259895343763), 'rmse': np.float64(21.684694822256002), 'r2': 0.8843028983196383}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(381.15045256832724), 'rmse': np.float64(19.523074874832787), 'r2': 0.9062195547507272}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(417.66547718894765), 'rmse': np.float64(20.436865640037556), 'r2': 0.8985443300930018}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(493.7908591225253), 'rmse': np.float64(22.22140542635693), 'r2': 0.878504862537898}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(523.7743346439984), 'rmse': np.float64(22.88611663528783), 'r2': 0.8727692880937844}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(535.4998888268244), 'rmse': np.float64(23.140870528716597), 'r2': 0.8682425334491424}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(356.4418107166727), 'rmse': np.float64(18.879666594425675), 'r2': 0.9134162513681645}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(363.40618475139325), 'rmse': np.float64(19.06321548824839), 'r2': 0.910216194643347}
