{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(402.08294551775003), 'rmse': np.float64(20.052006022284903), 'r2': 0.900660642464597, 'mae': np.float64(13.991071359008371), 'z_threshold': 1.5, 'mse_peak': np.float64(1493.990065735498), 'rmse_peak': np.float64(38.65216767188482), 'r2_peak': 0.6080090796023293, 'mae_peak': np.float64(31.559531663669524)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(291.2462830409346), 'rmse': np.float64(17.06593926629691), 'r2': 0.9292529826675769, 'mae': np.float64(11.449989140670716), 'z_threshold': 1.5, 'mse_peak': np.float64(1278.2696005032947), 'rmse_peak': np.float64(35.75289639320561), 'r2_peak': 0.6619054718633899, 'mae_peak': np.float64(28.480756508687353)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(337.07193127349757), 'rmse': np.float64(18.359518819225563), 'r2': 0.9167223841020917, 'mae': np.float64(11.514853572663577), 'z_threshold': 1.5, 'mse_peak': np.float64(1696.3262253580276), 'rmse_peak': np.float64(41.18648109948248), 'r2_peak': 0.5549204150527971, 'mae_peak': np.float64(34.66625528578829)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(407.70302808282895), 'rmse': np.float64(20.191657388209343), 'r2': 0.8992721344526693, 'mae': np.float64(13.136213651603924), 'z_threshold': 1.5, 'mse_peak': np.float64(1677.9519094595746), 'rmse_peak': np.float64(40.96281129829317), 'r2_peak': 0.5597414410863044, 'mae_peak': np.float64(32.715310124441594)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(298.332187362894), 'rmse': np.float64(17.272295370416), 'r2': 0.9265966361195224, 'mae': np.float64(11.044464203340414), 'z_threshold': 1.5, 'mse_peak': np.float64(1334.4573836899976), 'rmse_peak': np.float64(36.530225617835946), 'r2_peak': 0.649408527134176, 'mae_peak': np.float64(29.541020035651883)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 3, 'mse': np.float64(360.1680737496314), 'rmse': np.float64(18.978094576369656), 'r2': 0.912511099918246, 'mae': np.float64(12.759219573658779), 'z_threshold': 1.5, 'mse_peak': np.float64(1313.491540115832), 'rmse_peak': np.float64(36.242123835611956), 'r2_peak': 0.6525894832420003, 'mae_peak': np.float64(28.888256417244193)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(491.0731281761602), 'rmse': np.float64(22.160169858919406), 'r2': 0.87867456304792, 'mae': np.float64(15.577174935059803), 'z_threshold': 1.5, 'mse_peak': np.float64(2204.7983021366604), 'rmse_peak': np.float64(46.955279811078334), 'r2_peak': 0.4215082579412658, 'mae_peak': np.float64(37.47312128884067)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(349.27970514714264), 'rmse': np.float64(18.689026329564165), 'r2': 0.9137063088691971, 'mae': np.float64(12.525134927050164), 'z_threshold': 1.5, 'mse_peak': np.float64(1531.5379623032757), 'rmse_peak': np.float64(39.134868880619436), 'r2_peak': 0.598157317617986, 'mae_peak': np.float64(30.78957759627674)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'gru_layers': 2, 'mse': np.float64(340.36445212338447), 'rmse': np.float64(18.44896886341848), 'r2': 0.915908927800237, 'mae': np.float64(12.208225949943014), 'z_threshold': 1.5, 'mse_peak': np.float64(1312.6340062155818), 'rmse_peak': np.float64(36.23029127975073), 'r2_peak': 0.6555930162839356, 'mae_peak': np.float64(28.612553427290973)}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'gru_layers': 2, 'mse': np.float64(331.4201424088692), 'rmse': np.float64(18.204948294594775), 'r2': 0.9181187255311343, 'mae': np.float64(12.033213274256298), 'z_threshold': 1.5, 'mse_peak': np.float64(1369.8493205301695), 'rmse_peak': np.float64(37.01147552489862), 'r2_peak': 0.6405809461012761, 'mae_peak': np.float64(29.32704724964491)}
