{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(374.09191831945196), 'rmse': np.float64(19.341455951387218), 'r2': 0.9091288405368392}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(384.7085694295285), 'rmse': np.float64(19.61398912586444), 'r2': 0.9053440952537126}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(289.3479201250119), 'rmse': np.float64(17.01022986690691), 'r2': 0.9285131667238175}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(420.432619221548), 'rmse': np.float64(20.50445364357578), 'r2': 0.8978721599856356}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(329.0418270270731), 'rmse': np.float64(18.139510109897486), 'r2': 0.9187063165361196}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(347.16501627909935), 'rmse': np.float64(18.632364752738695), 'r2': 0.9142287678192235}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(431.2530453275369), 'rmse': np.float64(20.766632980036434), 'r2': 0.8952437560613974}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(427.20218130344597), 'rmse': np.float64(20.66886986033455), 'r2': 0.8948887230642453}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(351.26085336705944), 'rmse': np.float64(18.741954363594513), 'r2': 0.9146747645261165}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(421.3110918805512), 'rmse': np.float64(20.525863974034106), 'r2': 0.8976587690376597}
