{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(331.5940998356801), 'rmse': np.float64(18.209725419008386), 'r2': 0.9180757472869423}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(324.0122184021977), 'rmse': np.float64(18.000339396861317), 'r2': 0.9212937662521334}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(377.94367519609193), 'rmse': np.float64(19.44077352360476), 'r2': 0.9081932052124438}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(382.2217448391709), 'rmse': np.float64(19.550492189179558), 'r2': 0.9071540136937467}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(315.5407645384381), 'rmse': np.float64(17.76346713168457), 'r2': 0.9223625390096949}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(256.8422465283587), 'rmse': np.float64(16.02629859101467), 'r2': 0.9365440786720699}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(259.2362698583358), 'rmse': np.float64(16.100815813440505), 'r2': 0.935952606832302}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(276.7415341866813), 'rmse': np.float64(16.63555031210814), 'r2': 0.9316277237919979}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(349.27627331339187), 'rmse': np.float64(18.688934515198877), 'r2': 0.9151568414748366}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(374.2459269518974), 'rmse': np.float64(19.34543685089322), 'r2': 0.9090914300975532}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(482.63598057711414), 'rmse': np.float64(21.96897768620821), 'r2': 0.8807590603668535}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(361.37776307748834), 'rmse': np.float64(19.009938534290118), 'r2': 0.9122172526939959}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(376.1669989691778), 'rmse': np.float64(19.395025108753476), 'r2': 0.9074457122805377}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(372.53157164396697), 'rmse': np.float64(19.301076955547504), 'r2': 0.9083401936878989}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 16, 'mse': np.float64(464.91804429565656), 'rmse': np.float64(21.561958266717255), 'r2': 0.8870661469237768}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(360.90855167463474), 'rmse': np.float64(18.99759331269713), 'r2': 0.9111999882402083}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(458.0761631820599), 'rmse': np.float64(21.40271392095077), 'r2': 0.8872923113384181}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(399.0498043721299), 'rmse': np.float64(19.976230985151577), 'r2': 0.9018154954861431}
{'neurons': 100, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(308.3879318312068), 'rmse': np.float64(17.560977530627582), 'r2': 0.9238091061526226}
