{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(376.2444348919977), 'rmse': np.float64(19.397021289156687), 'r2': 0.9070443527757337}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(376.84608492535824), 'rmse': np.float64(19.412523919505116), 'r2': 0.9068957080036999}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(331.36697212132293), 'rmse': np.float64(18.203487910873644), 'r2': 0.9184685680495941}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(508.9571307470445), 'rmse': np.float64(22.56007825223673), 'r2': 0.8742561082356537}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(358.5272872923558), 'rmse': np.float64(18.934816801130022), 'r2': 0.9114215840896409}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(486.06642577847776), 'rmse': np.float64(22.04691420082361), 'r2': 0.8819289657872623}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(427.1023750413756), 'rmse': np.float64(20.666455309060034), 'r2': 0.8944792958482194}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(340.027472088355), 'rmse': np.float64(18.439833841126525), 'r2': 0.9159921827120786}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(328.77984375480105), 'rmse': np.float64(18.132287328266145), 'r2': 0.9187710426087935}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(476.6779241270637), 'rmse': np.float64(21.832955002176497), 'r2': 0.8842095390605862}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(339.2646981506644), 'rmse': np.float64(18.419139451957694), 'r2': 0.9175887663535578}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(336.6182590848728), 'rmse': np.float64(18.34715942822956), 'r2': 0.9168344691936183}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(304.85021524767035), 'rmse': np.float64(17.45996034496271), 'r2': 0.9246831409667535}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(499.42664795168446), 'rmse': np.float64(22.347855555996517), 'r2': 0.8786836166628581}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(328.0414880144955), 'rmse': np.float64(18.111915636246085), 'r2': 0.9192867892483522}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(336.89355252049705), 'rmse': np.float64(18.35466023985454), 'r2': 0.9171087764842212}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(418.6854450676432), 'rmse': np.float64(20.46180454084251), 'r2': 0.8969842297359081}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(384.1384230428183), 'rmse': np.float64(19.59944955968964), 'r2': 0.9050940494364941}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(533.8568835279814), 'rmse': np.float64(23.10534318135053), 'r2': 0.868646787904133}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(401.44174481966263), 'rmse': np.float64(20.036011200327838), 'r2': 0.9024852582419975}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(395.21268078537724), 'rmse': np.float64(19.87995676014858), 'r2': 0.9039983683720123}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(370.2605570214213), 'rmse': np.float64(19.242155726981874), 'r2': 0.9100595215444331}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(445.8703471072267), 'rmse': np.float64(21.115642237621536), 'r2': 0.890295500389921}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(348.49285815480334), 'rmse': np.float64(18.667963417437996), 'r2': 0.9142548167430278}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(443.0424831402354), 'rmse': np.float64(21.048574373107442), 'r2': 0.8909912842730092}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(485.1145234358755), 'rmse': np.float64(22.025315512742957), 'r2': 0.8821601936361733}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(485.66339202718615), 'rmse': np.float64(22.03777193881419), 'r2': 0.8805045911957383}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(335.07912004597245), 'rmse': np.float64(18.305166485065698), 'r2': 0.9175552098655515}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(428.8263006574562), 'rmse': np.float64(20.708121611036), 'r2': 0.8944891154155314}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(587.3338713971696), 'rmse': np.float64(24.234972073373008), 'r2': 0.8554890028374514}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(446.51533634857685), 'rmse': np.float64(21.13090950121591), 'r2': 0.8915363728937081}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(460.9551021074835), 'rmse': np.float64(21.46986497646139), 'r2': 0.8865839606793741}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(403.53530197500083), 'rmse': np.float64(20.088188120758947), 'r2': 0.9007118579080495}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(325.3569532282398), 'rmse': np.float64(18.037653761735193), 'r2': 0.9209671149484595}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(462.254466723843), 'rmse': np.float64(21.500103877047735), 'r2': 0.8862642575504857}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(430.1830639742727), 'rmse': np.float64(20.74085494800715), 'r2': 0.8955036666379526}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(444.3942306797337), 'rmse': np.float64(21.080660110151523), 'r2': 0.8906586925490205}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(305.48683524244285), 'rmse': np.float64(17.478181691538822), 'r2': 0.9245258564512577}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(315.2077722380809), 'rmse': np.float64(17.754091704113755), 'r2': 0.9221241837452807}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(412.17052643643603), 'rmse': np.float64(20.30198331287946), 'r2': 0.8998791158010623}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(544.5274523753369), 'rmse': np.float64(23.335112006916464), 'r2': 0.8660213398931834}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 24, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 3, 'mse': np.float64(458.2798502226628), 'rmse': np.float64(21.407471831644735), 'r2': 0.8872421950097333}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(382.9855858052068), 'rmse': np.float64(19.5700175218421), 'r2': 0.9069684680809439}
{'neurons': 100, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 3, 'mse': np.float64(537.3785518094453), 'rmse': np.float64(23.181426871731716), 'r2': 0.8694646698251878}
