{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(328.02730677207285), 'rmse': np.float64(18.111524142712916), 'r2': 0.9189569657901151, 'mae': np.float64(11.934193729042196), 'z_threshold': 1.5, 'mse_peak': np.float64(1326.6342020074644), 'rmse_peak': np.float64(36.42299002014338), 'r2_peak': 0.6519196654631549, 'mae_peak': np.float64(29.66174047380741)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(375.51492847185574), 'rmse': np.float64(19.378207566022606), 'r2': 0.9072245859835898, 'mae': np.float64(12.646077788212486), 'z_threshold': 1.5, 'mse_peak': np.float64(1526.442904846508), 'rmse_peak': np.float64(39.06971851506622), 'r2_peak': 0.5994941513143828, 'mae_peak': np.float64(31.719749583956567)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(412.9383210048839), 'rmse': np.float64(20.320883863771375), 'r2': 0.8979786932829203, 'mae': np.float64(13.545349033453796), 'z_threshold': 1.5, 'mse_peak': np.float64(1401.1077245735964), 'rmse_peak': np.float64(37.431373533088475), 'r2_peak': 0.6323794119330333, 'mae_peak': np.float64(29.37546224513583)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(758.1326629881961), 'rmse': np.float64(27.534208958824223), 'r2': 0.8158409985916852, 'mae': np.float64(20.0308990607674), 'z_threshold': 1.5, 'mse_peak': np.float64(1981.7613584572457), 'rmse_peak': np.float64(44.51697831678657), 'r2_peak': 0.47583618424222796, 'mae_peak': np.float64(36.43427504849334)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 24, 'batch_size': 64, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 2, 'mse': np.float64(364.2262916773107), 'rmse': np.float64(19.084713560263637), 'r2': 0.9103836724452887, 'mae': np.float64(12.878276075802182), 'z_threshold': 1.5, 'mse_peak': np.float64(1489.183811138436), 'rmse_peak': np.float64(38.58994443036212), 'r2_peak': 0.608758472098011, 'mae_peak': np.float64(31.03570913681912)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(263.84936498266893), 'rmse': np.float64(16.243440675628698), 'r2': 0.9348128870033228, 'mae': np.float64(10.515197213560212), 'z_threshold': 1.5, 'mse_peak': np.float64(1040.121359748561), 'rmse_peak': np.float64(32.250912541330685), 'r2_peak': 0.7270944844386273, 'mae_peak': np.float64(25.67435136842676)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 64, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(358.44502956179633), 'rmse': np.float64(18.93264454749511), 'r2': 0.9114419068369676, 'mae': np.float64(12.38026988045399), 'z_threshold': 1.5, 'mse_peak': np.float64(1819.6918368374043), 'rmse_peak': np.float64(42.65784613453197), 'r2_peak': 0.5225519270030354, 'mae_peak': np.float64(33.81421070205419)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 32, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(302.1230704570814), 'rmse': np.float64(17.381687790806776), 'r2': 0.9253569144118179, 'mae': np.float64(12.026663637217595), 'z_threshold': 1.5, 'mse_peak': np.float64(1401.1725812616926), 'rmse_peak': np.float64(37.432239864342776), 'r2_peak': 0.6323623949304147, 'mae_peak': np.float64(29.694230496017603)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 64, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(305.6845334567994), 'rmse': np.float64(17.48383634837616), 'r2': 0.9244770127641055, 'mae': np.float64(11.601872773887989), 'z_threshold': 1.5, 'mse_peak': np.float64(1317.2322042350243), 'rmse_peak': np.float64(36.29369372542597), 'r2_peak': 0.6543865478373568, 'mae_peak': np.float64(29.473516175347)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'Adam', 'time_window': 72, 'batch_size': 16, 'conv_neurons': 64, 'cnn_layers': 1, 'lstm_layers': 1, 'mse': np.float64(394.9315420090216), 'rmse': np.float64(19.872884592052095), 'r2': 0.9040666601616137, 'mae': np.float64(13.171296993060764), 'z_threshold': 1.5, 'mse_peak': np.float64(1808.2460186670464), 'rmse_peak': np.float64(42.52347608870947), 'r2_peak': 0.5217299353787119, 'mae_peak': np.float64(33.95907227652088)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 2, 'lstm_layers': 1, 'mse': np.float64(442.4945126509081), 'rmse': np.float64(21.035553538020057), 'r2': 0.8906764858104582, 'mae': np.float64(14.799680345627685), 'z_threshold': 1.5, 'mse_peak': np.float64(1977.7608636374935), 'rmse_peak': np.float64(44.47202338141917), 'r2_peak': 0.4810780077830792, 'mae_peak': np.float64(35.662045839322204)}
{'neurons': 50, 'dropout': 0.1, 'optimizer': 'RMSprop', 'time_window': 8, 'batch_size': 16, 'conv_neurons': 128, 'cnn_layers': 1, 'lstm_layers': 2, 'mse': np.float64(370.80204722018095), 'rmse': np.float64(19.256221000502173), 'r2': 0.9083889591580828, 'mae': np.float64(13.53626120264717), 'z_threshold': 1.5, 'mse_peak': np.float64(1614.3683704961206), 'rmse_peak': np.float64(40.17920320882584), 'r2_peak': 0.5764243967043228, 'mae_peak': np.float64(32.045790880653854)}
