{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(356.9125774242276), 'rmse': np.float64(18.892130039363682), 'r2': 0.9118205173015418, 'mae': np.float64(12.344740924282277), 'z_threshold': 1.5, 'mse_peak': np.float64(1859.1312031558737), 'rmse_peak': np.float64(43.11764375700363), 'r2_peak': 0.5122038839620218, 'mae_peak': np.float64(35.07219491575828)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(299.53071815956577), 'rmse': np.float64(17.30695577389524), 'r2': 0.9263017427224414, 'mae': np.float64(11.536159845086575), 'z_threshold': 1.5, 'mse_peak': np.float64(1441.0564518413707), 'rmse_peak': np.float64(37.96124934510679), 'r2_peak': 0.6214025939615688, 'mae_peak': np.float64(30.346871973376462)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(336.7180726701749), 'rmse': np.float64(18.349879363913402), 'r2': 0.9182073704954758, 'mae': np.float64(11.883222382836728), 'z_threshold': 1.5, 'mse_peak': np.float64(1755.0395906790902), 'rmse_peak': np.float64(41.89319265321146), 'r2_peak': 0.535802711698621, 'mae_peak': np.float64(34.5167065402787)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(374.0022158211845), 'rmse': np.float64(19.33913689442175), 'r2': 0.9079783479526692, 'mae': np.float64(12.568419520567254), 'z_threshold': 1.5, 'mse_peak': np.float64(1693.8078190074032), 'rmse_peak': np.float64(41.15589652780514), 'r2_peak': 0.5549992189518989, 'mae_peak': np.float64(33.15097437541401)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(312.39639593159114), 'rmse': np.float64(17.674738921171965), 'r2': 0.9228187675847354, 'mae': np.float64(11.95329850653175), 'z_threshold': 1.5, 'mse_peak': np.float64(1389.4079319178086), 'rmse_peak': np.float64(37.27476266749137), 'r2_peak': 0.635449186355761, 'mae_peak': np.float64(28.835867898413525)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(301.98548954353197), 'rmse': np.float64(17.377729700496896), 'r2': 0.9253909054072418, 'mae': np.float64(11.64737414152754), 'z_threshold': 1.5, 'mse_peak': np.float64(1469.3092558224275), 'rmse_peak': np.float64(38.331569962922565), 'r2_peak': 0.6144847942779965, 'mae_peak': np.float64(29.09330230102838)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(366.7872908169569), 'rmse': np.float64(19.151691591526763), 'r2': 0.9097535495161916, 'mae': np.float64(12.588186766533093), 'z_threshold': 1.5, 'mse_peak': np.float64(2055.564592909896), 'rmse_peak': np.float64(45.33833469493444), 'r2_peak': 0.45995771239515837, 'mae_peak': np.float64(37.86260973239218)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(392.65945230384796), 'rmse': np.float64(19.815636560651992), 'r2': 0.9029888281587274, 'mae': np.float64(12.86532026904601), 'z_threshold': 1.5, 'mse_peak': np.float64(1767.102873296949), 'rmse_peak': np.float64(42.03692273819468), 'r2_peak': 0.5363501420606662, 'mae_peak': np.float64(33.60878368043802)}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(453.7318359402984), 'rmse': np.float64(21.300982041687618), 'r2': 0.888361214550511, 'mae': np.float64(14.889480519398969), 'z_threshold': 1.5, 'mse_peak': np.float64(2041.6420778052177), 'rmse_peak': np.float64(45.18453361278854), 'r2_peak': 0.46361546507891105, 'mae_peak': np.float64(38.01088937086126)}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(309.04123644248693), 'rmse': np.float64(17.579568721743062), 'r2': 0.923961720211347, 'mae': np.float64(11.595319979682499), 'z_threshold': 1.5, 'mse_peak': np.float64(1235.8127595896742), 'rmse_peak': np.float64(35.15412862793891), 'r2_peak': 0.6753246519024301, 'mae_peak': np.float64(28.52227736401484)}
