{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(356.88058856639833), 'rmse': np.float64(18.89128340178079), 'r2': 0.912191051404879}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(378.1416195174165), 'rmse': np.float64(19.445863815151448), 'r2': 0.9065756308269018}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(330.3801539982995), 'rmse': np.float64(18.176362507341768), 'r2': 0.9187113704451667}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(356.8115416545283), 'rmse': np.float64(18.889455832673644), 'r2': 0.9122080401034222}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(397.60016058480863), 'rmse': np.float64(19.93991375570137), 'r2': 0.9017681676162403}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(436.5476616055726), 'rmse': np.float64(20.893723019260417), 'r2': 0.893957633863786}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(417.4930471417178), 'rmse': np.float64(20.432646601498245), 'r2': 0.8985862153023602}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(418.0823725861006), 'rmse': np.float64(20.44706268846703), 'r2': 0.8967077943678992}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(338.54195281780267), 'rmse': np.float64(18.399509580904667), 'r2': 0.9167031946128403}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(411.5820617246754), 'rmse': np.float64(20.28748534749133), 'r2': 0.898313773213689}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(390.2900068705783), 'rmse': np.float64(19.755758828012105), 'r2': 0.9039708063468634}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(334.885821860323), 'rmse': np.float64(18.299885842822164), 'r2': 0.9172624883443325}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(331.0927571150139), 'rmse': np.float64(18.195954416161136), 'r2': 0.9181996099484434}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(434.7805316910525), 'rmse': np.float64(20.85139160082733), 'r2': 0.8930241022332432}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(458.34502666211324), 'rmse': np.float64(21.408994060023307), 'r2': 0.8886628072745675}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(331.6645531613089), 'rmse': np.float64(18.211659813463157), 'r2': 0.9183953495023259}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(333.3710973205912), 'rmse': np.float64(18.25845276359942), 'r2': 0.919020388675814}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(482.83833301666306), 'rmse': np.float64(21.973582616784707), 'r2': 0.8807090667982015}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(374.7876046144167), 'rmse': np.float64(19.35943192902149), 'r2': 0.9089598504647465}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(318.1848928316358), 'rmse': np.float64(17.83773788437412), 'r2': 0.9213886508151576}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(456.2155726997976), 'rmse': np.float64(21.35920346594876), 'r2': 0.8877501017009307}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 3, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(446.9100631923402), 'rmse': np.float64(21.140247472353302), 'r2': 0.8895855717121591}
{'neurons': 50, 'dropout': 0.1, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(316.9041565118621), 'rmse': np.float64(17.80180205799014), 'r2': 0.9220270822223412}
